excessret,high52,mom12m,mom6m,maxret,mom12moffseason,realizedvol,idiovolaht,zerotrade,indretbig,returnskew
0.025763,0.53291756,-0.41180503,-0.23722216,-0.0551601126790047,-0.028568131228288,-0.0295609416539408,-0.0248107197591352,2.2643938e-08,-0.0220037919551937,0.690603291473713
0.02693,0.5211975,-0.42468354,-0.13702531,-0.0569434687495232,-0.0038160314369533,-0.0323117703134038,-0.0301620678484187,1.5530845e-09,0.051482972442512,-0.0709517225246849
0.129844,0.54238778,-0.46883583,0.033535898,-0.103368222713471,-0.0270092741896709,-0.0375344025265604,-0.0289848599937776,1.5280849e-08,0.0160268221679659,-0.629715043507355
0.10393,0.5789991,-0.4021157,-0.093976282,-0.0351689122617245,-0.0454347955269946,-0.0159700368783603,-0.0226582601931265,2.2832431e-08,0.0092033065016975,-0.227587035146751
0.112527,0.75168347,-0.29956326,0.041558523,-0.059850312769413,-0.0334296620761355,-0.0235155161403532,-0.0279203418321668,5.3412275e-08,0.124418015394579,-0.71003623325848
0.006641,0.97189379,0.039219633,0.074637443,-0.0216528475284576,0.0044578009595474,-0.0110424321655919,-0.0120757152512001,4.0468937e-08,0.0564361023326511,0.0845008312053569
0.213669,1.0783069,-0.029553749,0.065203674,-0.0810811221599579,0.0025189196070035,-0.0406186356992681,-0.0380538847400676,6.3481565e-08,0.0586432557375658,0.417085403053638
-0.133887,0.47226247,-0.31512275,-0.058759518,-0.0537500381469727,0.0146989453997877,-0.0293264240354664,-0.0331852300557712,2.3785544e-08,0.117053258699965,0.0449736476731599
0.031153,0.51768678,-0.45070729,-0.15302011,-0.0300545878708363,-0.0418174567037366,-0.0209485119618902,-0.0242775259491198,1.7109285e-08,-0.0051429429207928,1.75370867085533
0.068808,0.82413334,-0.16349474,-0.055469293,-0.0256453510373831,-0.014335174113512,-0.0170150954736285,-0.0159573323682514,1.975385e-08,0.0275618516188114,0.782726933105936
0.246561,0.30613497,-0.7111913,1.5806453,-0.205655515193939,0.0316546418600612,-0.0491412833647457,-0.124970247411543,8.6084411e-09,0.123366714366344,-3.10707369950412
0.059636,1.0504347,0.51737833,0.49101397,-0.0434895344078541,0.0555949198702971,-0.0224859586255838,-0.0196726881080614,2.4793501e-08,0.0312990777376654,-0.53111942748826
0.132812,0.59585494,-0.38625741,0.030004621,-0.0510949268937111,-0.0210643716984325,-0.028022158938097,-0.0346085828238831,7.0891389e-08,0.0321114651641161,0.267235319602625
0.138957,0.28409585,-0.73290104,-0.30582526,-0.0795107036828995,-0.0917674584521188,-0.0426108618679161,-0.0355587185592282,7.2863773e-09,0.0026416459063341,-0.122935548603164
-0.040714,0.39303043,-0.563169,-0.31104794,-0.0326340012252331,-0.037216208047337,-0.0184215201911848,-0.0257001105857283,1.9460062e-08,-0.0031934563640064,-0.0505156750108128
0.0404879999999999,0.46592593,-0.54756558,-0.11695909,-0.0937499925494194,-0.0283033328337802,-0.0379466336429501,-0.0352921801329784,3.5163538e-08,0.0664116089294354,-0.718843948156872
0.094215,0.99237227,0.5,-0.022222182,-0.0482213944196701,0.0295135955222779,-0.0234031923300741,-0.0273379771583043,1.3018341e-08,0.0354282803441366,-0.181503644834545
0.084674,0.83567727,-0.090909086,-0.07142859,-0.0408744625747204,0.0491242003627121,-0.0233736211834279,-0.0299158481828028,2.7155647e-08,-0.0235320272797317,0.515245776123988
0.150996,0.91186023,0.042766605,0.051090948,-0.0687179565429688,0.0326414617399375,-0.02812032358332,-0.0347851814374916,5.4740128e-09,0.0664116089294354,-0.309730626230699
0.0942559999999999,1.0204214,0.11612839,0.12552316,-0.050420168787241,0.0065114007900572,-0.0148774685102679,-0.0174336081312365,3.640945e-08,0.0253502117362549,-1.16826279219328
0.126132,0.85996103,-0.12938528,0.0048313183,-0.027820760384202,0.0181365971350008,-0.0114883282016864,-0.0187504428313374,2.5171101e-08,0.003911655870754,-0.563904812147729
0.073156,0.86978126,-0.11345035,0.040266201,-0.0257215071469545,-0.0058949714423054,-0.0148908406718982,-0.0229214482551201,4.1545732e-08,0.0698306457224217,0.647164463472934
0.012377,1.00837,0.22452074,0.025587872,-0.0592317804694176,0.0224425724397103,-0.0209890963700468,-0.020984543497907,1.5597822e-08,0.0519236831890784,-0.786844810603398
-0.032479,0.78492606,-0.12472096,-0.032122206,-0.0303464457392693,-0.0044806686023043,-0.0215524630136298,-0.0195657427109156,1.0262116e-08,0.0247396010158864,-0.0266730779855078
-0.015283,0.79729122,-0.045817342,0.21535036,-0.0187463201582432,0.0035271538524992,-0.0122415507381788,-0.0200821014896893,1.5608979e-08,0.0321114651641161,0.102885475403952
-0.006885,0.68868846,-0.24595381,-0.15966883,-0.0420508794486523,-0.0170064786862996,-0.0185027095547535,-0.0218934206558946,1.6507354e-08,-0.0603405798288135,-0.2376410978277
